complaint_text,department,urgency
Potholes on road in Sector 10,Roads,Medium
Building violating setback rules in Sector 42,Urban Planning,Medium
Manhole uncovered in Sector 22,Sanitation,Medium
Traffic jam due to narrow road at Sector 17,Roads,Medium
Public toilet not cleaned near Sector 19,Sanitation,Medium
Streetlights not working near Sector 36,Electricity,Low
Manhole uncovered in Sector 34,Sanitation,Medium
Streetlights not working near Sector 9,Electricity,Medium
Traffic jam due to narrow road at Sector 30,Roads,High
Road construction left incomplete at Sector 41,Roads,Medium
No clean drinking water available in Sector 45,Water,Low
Electric pole broken in Sector 49,Electricity,High
Garbage not collected in Sector 25,Sanitation,High
Footpath broken near Sector 35,Roads,Medium
Unauthorized street vendors in Sector 23,Urban Planning,High
Potholes on road in Sector 23,Roads,Medium
Water supply interrupted in Sector 26,Water,Medium
No clean drinking water available in Sector 17,Water,Medium
Building violating setback rules in Sector 6,Urban Planning,High
Road construction left incomplete at Sector 38,Roads,High
No clean drinking water available in Sector 7,Water,Medium
Power cut since morning in Sector 30,Electricity,Medium
Road construction left incomplete at Sector 39,Roads,Low
Manhole uncovered in Sector 46,Sanitation,Medium
Electric pole broken in Sector 45,Electricity,High
Unauthorized street vendors in Sector 42,Urban Planning,Medium
Garbage not collected in Sector 18,Sanitation,High
Manhole uncovered in Sector 40,Sanitation,Low
Voltage fluctuations in Sector 39,Electricity,Medium
Building violating setback rules in Sector 33,Urban Planning,Medium
Road construction left incomplete at Sector 45,Roads,Low
Manhole uncovered in Sector 1,Sanitation,Medium
Voltage fluctuations in Sector 36,Electricity,Medium
Electric pole broken in Sector 13,Electricity,High
Building violating setback rules in Sector 34,Urban Planning,High
Road construction left incomplete at Sector 12,Roads,Low
Traffic jam due to narrow road at Sector 13,Roads,Low
Open drain creating foul smell at Sector 5,Sanitation,Medium
Potholes on road in Sector 44,Roads,High
Underground water pipeline burst at Sector 45,Water,Low
No clean drinking water available in Sector 38,Water,High
Underground water pipeline burst at Sector 34,Water,High
No clean drinking water available in Sector 5,Water,High
Need traffic signal at Sector 18 crossing,Urban Planning,Medium
Underground water pipeline burst at Sector 40,Water,High
No clean drinking water available in Sector 11,Water,Medium
Electric pole broken in Sector 22,Electricity,High
Traffic jam due to narrow road at Sector 36,Roads,Medium
Underground water pipeline burst at Sector 38,Water,Medium
Underground water pipeline burst at Sector 45,Water,High
Footpath broken near Sector 48,Roads,Medium
Public toilet not cleaned near Sector 37,Sanitation,Medium
Open drain creating foul smell at Sector 10,Sanitation,Medium
Streetlights not working near Sector 15,Electricity,Medium
Garbage not collected in Sector 7,Sanitation,Medium
Underground water pipeline burst at Sector 27,Water,Medium
Water leakage near Sector 17,Water,High
Public toilet not cleaned near Sector 48,Sanitation,Medium
Traffic jam due to narrow road at Sector 31,Roads,Medium
Unauthorized street vendors in Sector 33,Urban Planning,High
Manhole uncovered in Sector 46,Sanitation,Medium
Footpath broken near Sector 17,Roads,High
Power cut since morning in Sector 30,Electricity,High
Unauthorized street vendors in Sector 22,Urban Planning,Medium
Building violating setback rules in Sector 44,Urban Planning,Medium
Garbage not collected in Sector 46,Sanitation,Medium
Garbage not collected in Sector 8,Sanitation,Low
Underground water pipeline burst at Sector 24,Water,Medium
Streetlights not working near Sector 13,Electricity,Low
Water leakage near Sector 38,Water,Medium
Streetlights not working near Sector 45,Electricity,Medium
Water leakage near Sector 33,Water,Low
Potholes on road in Sector 1,Roads,Medium
Voltage fluctuations in Sector 37,Electricity,Low
Power cut since morning in Sector 15,Electricity,Medium
Power cut since morning in Sector 26,Electricity,Medium
Traffic jam due to narrow road at Sector 25,Roads,Medium
Potholes on road in Sector 50,Roads,Medium
Building violating setback rules in Sector 27,Urban Planning,High
Open drain creating foul smell at Sector 34,Sanitation,High
Need traffic signal at Sector 17 crossing,Urban Planning,Medium
Potholes on road in Sector 34,Roads,High
Manhole uncovered in Sector 3,Sanitation,Medium
Illegal construction in Sector 17,Urban Planning,High
Garbage not collected in Sector 44,Sanitation,High
Road construction left incomplete at Sector 5,Roads,Medium
Water supply interrupted in Sector 9,Water,Low
Road construction left incomplete at Sector 49,Roads,Medium
Footpath broken near Sector 12,Roads,High
Footpath broken near Sector 31,Roads,High
Illegal construction in Sector 4,Urban Planning,Low
Electric pole broken in Sector 28,Electricity,Medium
Potholes on road in Sector 32,Roads,High
Road construction left incomplete at Sector 37,Roads,High
Underground water pipeline burst at Sector 12,Water,Medium
Footpath broken near Sector 17,Roads,Medium
Underground water pipeline burst at Sector 24,Water,High
Voltage fluctuations in Sector 3,Electricity,Medium
No clean drinking water available in Sector 37,Water,Low
